Model loaded successfully from 'datasets/dummy15.txt'
***NEW BEST = 2867009.9471489345***
========= SOLUTION ==========
	t=7998.0	PUB ->  (212) t=8748.1
	t=8748.1	(212) ->  (158) t=9205.5
	t=9205.5	(158) ->  (261) t=9884.4
	t=9884.4	(261) ->  (405) t=10519.9
	t=10519.9	(405) ->  (161) t=11096.1
	t=11096.1	(161) ->  PUB
Bus 42
	t=7998.0	PUB ->  (412) t=8349.5
	t=8349.5	(412) ->  (169) t=9033.5
	t=9033.5	(169) ->  (256) t=9243.7
	t=9243.7	(256) ->  (204) t=9593.9
	t=9593.9	(204) ->  (378) t=9977.0
	t=9977.0	(378) ->  PUB
Bus 43
	t=7998.0	PUB ->  (318) t=8853.2
	t=8853.2	(318) ->  (429) t=9333.4
	t=9333.4	(429) ->  (396) t=9949.0
	t=9949.0	(396) ->  (390) t=10701.5
	t=10701.5	(390) ->  (22) t=11000.3
	t=11000.3	(22) ->  PUB
Bus 44
	t=7998.0	PUB ->  (443) t=8373.0
	t=8373.0	(443) ->  (409) t=9007.7
	t=9007.7	(409) ->  (68) t=9406.7
	t=9406.7	(68) ->  (205) t=10065.5
	t=10065.5	(205) ->  (380) t=10785.3
	t=10785.3	(380) ->  PUB
Bus 45
	t=7998.0	PUB ->  (191) t=8710.8
	t=8710.8	(191) ->  (400) t=9225.0
	t=9225.0	(400) ->  (494) t=9679.9
	t=9679.9	(494) ->  (312) t=10130.6
	t=10130.6	(312) ->  (54) t=10410.1
	t=10410.1	(54) ->  PUB
Bus 46
	t=7998.0	PUB ->  (9) t=8765.8
	t=8765.8	(9) ->  (153) t=9176.7
	t=9176.7	(153) ->  (408) t=9611.0
	t=9611.0	(408) ->  (436) t=9928.3
	t=9928.3	(436) ->  (319) t=10199.6
	t=10199.6	(319) ->  PUB
Bus 47
	t=7998.0	PUB ->  (79) t=9084.3
	t=9084.3	(79) ->  (359) t=9721.6
	t=9721.6	(359) ->  (362) t=9955.7
	t=9955.7	(362) ->  (352) t=10398.6
	t=10398.6	(352) ->  (186) t=11061.6
	t=11061.6	(186) ->  PUB
Bus 48
	t=7998.0	PUB ->  (198) t=8690.2
	t=8690.2	(198) ->  (133) t=9044.2
	t=9044.2	(133) ->  (21) t=9283.8
	t=9283.8	(21) ->  (291) t=9705.4
	t=9705.4	(291) ->  (389) t=10169.7
	t=10169.7	(389) ->  PUB
Bus 49
	t=7998.0	PUB ->  (143) t=8188.2
	t=8188.2	(143) ->  (100) t=8746.6
	t=8746.6	(100) ->  (325) t=9327.4
	t=9327.4	(325) ->  (209) t=9797.1
	t=9797.1	(209) ->  (139) t=9967.7
	t=9967.7	(139) ->  PUB
Bus 50
	t=7998.0	PUB ->  (221) t=8647.4
	t=8647.4	(221) ->  (334) t=9225.0
	t=9225.0	(334) ->  (188) t=10253.9
	t=10253.9	(188) ->  (369) t=10317.7
	t=10317.7	(369) ->  (326) t=10910.0
	t=10910.0	(326) ->  PUB
Bus 51
	t=7998.0	PUB ->  (130) t=8711.2
	t=8711.2	(130) ->  (413) t=9074.1
	t=9074.1	(413) ->  (488) t=9441.4
	t=9441.4	(488) ->  (157) t=10041.5
	t=10041.5	(157) ->  (102) t=10401.8
	t=10401.8	(102) ->  PUB
Bus 52
	t=7998.0	PUB ->  (459) t=8345.3
	t=8345.3	(459) ->  (187) t=8838.3
	t=8838.3	(187) ->  (451) t=9455.8
	t=9455.8	(451) ->  (456) t=9932.2
	t=9932.2	(456) ->  (468) t=10577.0
	t=10577.0	(468) ->  PUB
Bus 53
	t=7998.0	PUB ->  (85) t=8613.4
	t=8613.4	(85) ->  (399) t=8803.8
	t=8803.8	(399) ->  (406) t=9364.2
	t=9364.2	(406) ->  (57) t=9784.0
	t=9784.0	(57) ->  (428) t=10006.9
	t=10006.9	(428) ->  PUB
Bus 54
	t=7998.0	PUB ->  (274) t=8952.9
	t=8952.9	(274) ->  (286) t=9556.7
	t=9556.7	(286) ->  (466) t=9911.5
	t=9911.5	(466) ->  (178) t=10237.9
	t=10237.9	(178) ->  (154) t=10578.1
	t=10578.1	(154) ->  PUB
Bus 55
	t=7998.0	PUB ->  (441) t=8748.2
	t=8748.2	(441) ->  (240) t=8921.2
	t=8921.2	(240) ->  (195) t=9515.5
	t=9515.5	(195) ->  (171) t=9818.0
	t=9818.0	(171) ->  (145) t=10009.6
	t=10009.6	(145) ->  PUB
Bus 56
	t=7998.0	PUB ->  (24) t=8184.6
	t=8184.6	(24) ->  (149) t=8791.6
	t=8791.6	(149) ->  (183) t=9170.1
	t=9170.1	(183) ->  (388) t=9653.1
	t=9653.1	(388) ->  (31) t=9860.9
	t=9860.9	(31) ->  PUB
Bus 57
	t=7998.0	PUB ->  (160) t=8439.0
	t=8439.0	(160) ->  (179) t=8708.0
	t=8708.0	(179) ->  (253) t=8976.8
